Settore,Numero_Aziende,Percentuale_Totale,Comune
Industrie,335,0.5367,Beinasco
Servizi,305,0.1182,Beinasco
Amministrazione,52,48.9,Beinasco
Altro,386,0.1431,Beinasco
Industrie,45,48.9,Siniscola
Servizi,291,80.9,Siniscola
Amministrazione,65,87.5,Siniscola
Altro,283,79.8,Siniscola
Industrie,472,0.2751,Alpignano
Servizi,340,88.7,Alpignano
Amministrazione,46,54.0,Alpignano
Altro,296,86.8,Alpignano
Industrie,73,21.2,Terrasini
Servizi,231,42.9,Terrasini
Amministrazione,33,47.7,Terrasini
Altro,157,60.7,Terrasini
Industrie,21,7.2,Pettineo
Servizi,26,3.6,Pettineo
Amministrazione,12,11.4,Pettineo
Altro,24,6.1,Pettineo
Industrie,44,11.1,Bolognetta
Servizi,66,13.5,Bolognetta
Amministrazione,19,14.8,Bolognetta
Altro,55,13.8,Bolognetta
Industrie,49,11.3,Fluminimaggiore
Servizi,68,12.9,Fluminimaggiore
Amministrazione,19,9.8,Fluminimaggiore
Altro,58,15.5,Fluminimaggiore
Industrie,30,17.8,Pieve di Bono-Prezzo
Servizi,44,11.0,Pieve di Bono-Prezzo
Amministrazione,32,13.0,Pieve di Bono-Prezzo
Altro,48,15.4,Pieve di Bono-Prezzo
Industrie,46,24.2,San Bernardino Verbano
Servizi,11,1.8,San Bernardino Verbano
Amministrazione,9,1.4,San Bernardino Verbano
Altro,17,3.8,San Bernardino Verbano
Industrie,44,97.9,Lessona
Servizi,47,11.6,Lessona
Amministrazione,17,9.3,Lessona
Altro,75,25.0,Lessona
Industrie,65,31.2,Lessolo
Servizi,35,7.0,Lessolo
Amministrazione,23,3.2,Lessolo
Altro,44,11.6,Lessolo
Industrie,19,9.3,Palombara Sabina
Servizi,184,26.3,Palombara Sabina
Amministrazione,40,59.1,Palombara Sabina
Altro,199,50.9,Palombara Sabina
Industrie,107,34.1,Frosolone
Servizi,104,18.9,Frosolone
Amministrazione,12,10.7,Frosolone
Altro,78,22.1,Frosolone
Industrie,35,24.4,Sirolo
Servizi,117,27.0,Sirolo
Amministrazione,27,41.0,Sirolo
Altro,119,24.0,Sirolo
Industrie,38,38.3,San Marco dei Cavoti
Servizi,111,15.8,San Marco dei Cavoti
Amministrazione,20,40.2,San Marco dei Cavoti
Altro,125,30.5,San Marco dei Cavoti
Industrie,12,43.8,Genga
Servizi,53,11.7,Genga
Amministrazione,13,8.2,Genga
Altro,53,15.6,Genga
Industrie,1,0.8,Bessude
Servizi,6,1.4,Bessude
Amministrazione,5,1.0,Bessude
Altro,8,3.1,Bessude
Industrie,9,4.1,Aritzo
